Model,Params,Mean Test Score
LogisticRegression,"{'C': 10, 'solver': 'liblinear'}",0.9701902630551993
LogisticRegression,"{'C': 1, 'solver': 'liblinear'}",0.9692126661516529
LogisticRegression,"{'C': 100, 'solver': 'liblinear'}",0.9688870659881228
LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.9674207370005495
LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.9672578705510381
LogisticRegression,"{'C': 1, 'solver': 'lbfgs'}",0.9653033404214086
LogisticRegression,"{'C': 0.1, 'solver': 'liblinear'}",0.9635110130638271
LogisticRegression,"{'C': 1, 'solver': 'saga'}",0.9620445513407612
LogisticRegression,"{'C': 100, 'solver': 'saga'}",0.9618816848912497
LogisticRegression,"{'C': 10, 'solver': 'saga'}",0.9617188184417383
LogisticRegression,"{'C': 0.1, 'solver': 'saga'}",0.9612300863577115
LogisticRegression,"{'C': 0.1, 'solver': 'lbfgs'}",0.9581354910815023
LogisticRegression,"{'C': 0.01, 'solver': 'saga'}",0.9565065611154029
LogisticRegression,"{'C': 0.01, 'solver': 'liblinear'}",0.9503169723565061
LogisticRegression,"{'C': 0.01, 'solver': 'lbfgs'}",0.9346794039645436
MultinomialNB,"{'alpha': 0.1, 'fit_prior': True}",0.9400550586823613
MultinomialNB,"{'alpha': 0.1, 'fit_prior': False}",0.939240460963819
MultinomialNB,"{'alpha': 0.01, 'fit_prior': True}",0.9369605961416447
MultinomialNB,"{'alpha': 0.01, 'fit_prior': False}",0.9367977296921334
MultinomialNB,"{'alpha': 1.0, 'fit_prior': True}",0.9345169357215102
MultinomialNB,"{'alpha': 1.0, 'fit_prior': False}",0.9341910700869949
MultinomialNB,"{'alpha': 0.001, 'fit_prior': False}",0.9291416792101707
MultinomialNB,"{'alpha': 0.001, 'fit_prior': True}",0.9289786800251665
MultinomialNB,"{'alpha': 10.0, 'fit_prior': False}",0.8291258836865426
MultinomialNB,"{'alpha': 10.0, 'fit_prior': True}",0.8242390937882444
MultinomialNB,"{'alpha': 100.0, 'fit_prior': False}",0.7657606141936717
MultinomialNB,"{'alpha': 100.0, 'fit_prior': True}",0.7626648242980283
MultinomialNB,"{'alpha': 1000.0, 'fit_prior': False}",0.7343215490762937
MultinomialNB,"{'alpha': 1000.0, 'fit_prior': True}",0.7299237567330079
SVC,"{'C': 0.1, 'kernel': 'linear'}",0.9582996848859404
SVC,"{'C': 1, 'kernel': 'linear'}",0.9552041604612823
SVC,"{'C': 10, 'kernel': 'linear'}",0.9550410285407857
SVC,"{'C': 100, 'kernel': 'linear'}",0.9550410285407857
SVC,"{'C': 0.01, 'kernel': 'linear'}",0.9403805261103987
SVC,"{'C': 100, 'kernel': 'rbf'}",0.9366340668296658
SVC,"{'C': 10, 'kernel': 'rbf'}",0.9345160065730616
SVC,"{'C': 1, 'kernel': 'rbf'}",0.903729336402178
SVC,"{'C': 100, 'kernel': 'poly'}",0.8200032387460213
SVC,"{'C': 10, 'kernel': 'poly'}",0.7633168210380447
SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.7489813878292173
SVC,"{'C': 1, 'kernel': 'poly'}",0.6693260222623969
SVC,"{'C': 0.01, 'kernel': 'rbf'}",0.6579257690030768
SVC,"{'C': 0.1, 'kernel': 'poly'}",0.59912049462554
SVC,"{'C': 0.01, 'kernel': 'poly'}",0.5593745769056171
