Model,Params,Mean Test Score
LogisticRegression,"{'C': 10, 'solver': 'liblinear'}",0.8215384615384617
LogisticRegression,"{'C': 100, 'solver': 'liblinear'}",0.8209615384615384
LogisticRegression,"{'C': 1, 'solver': 'liblinear'}",0.8188461538461537
LogisticRegression,"{'C': 10, 'solver': 'lbfgs'}",0.8140384615384615
LogisticRegression,"{'C': 100, 'solver': 'saga'}",0.8126923076923077
LogisticRegression,"{'C': 10, 'solver': 'saga'}",0.8121153846153846
LogisticRegression,"{'C': 1, 'solver': 'saga'}",0.8119230769230767
LogisticRegression,"{'C': 1, 'solver': 'lbfgs'}",0.8088461538461539
LogisticRegression,"{'C': 100, 'solver': 'lbfgs'}",0.8069230769230769
LogisticRegression,"{'C': 0.1, 'solver': 'liblinear'}",0.7953846153846154
LogisticRegression,"{'C': 0.1, 'solver': 'saga'}",0.7936538461538462
LogisticRegression,"{'C': 0.1, 'solver': 'lbfgs'}",0.7905769230769231
LogisticRegression,"{'C': 0.01, 'solver': 'saga'}",0.7086538461538462
LogisticRegression,"{'C': 0.01, 'solver': 'liblinear'}",0.7046153846153846
LogisticRegression,"{'C': 0.01, 'solver': 'lbfgs'}",0.701923076923077
MultinomialNB,"{'alpha': 1.0, 'fit_prior': True}",0.7965384615384614
MultinomialNB,"{'alpha': 1.0, 'fit_prior': False}",0.7965384615384614
MultinomialNB,"{'alpha': 0.1, 'fit_prior': True}",0.7946153846153846
MultinomialNB,"{'alpha': 0.1, 'fit_prior': False}",0.7944230769230769
MultinomialNB,"{'alpha': 0.01, 'fit_prior': True}",0.7811538461538462
MultinomialNB,"{'alpha': 0.01, 'fit_prior': False}",0.7809615384615385
MultinomialNB,"{'alpha': 0.001, 'fit_prior': False}",0.7632692307692308
MultinomialNB,"{'alpha': 0.001, 'fit_prior': True}",0.763076923076923
MultinomialNB,"{'alpha': 10.0, 'fit_prior': True}",0.7388461538461538
MultinomialNB,"{'alpha': 10.0, 'fit_prior': False}",0.7386538461538462
MultinomialNB,"{'alpha': 100.0, 'fit_prior': False}",0.6275
MultinomialNB,"{'alpha': 100.0, 'fit_prior': True}",0.6265384615384615
MultinomialNB,"{'alpha': 1000.0, 'fit_prior': True}",0.5040384615384615
MultinomialNB,"{'alpha': 1000.0, 'fit_prior': False}",0.5026923076923078
SVC,"{'C': 1, 'kernel': 'linear'}",0.7911538461538461
SVC,"{'C': 10, 'kernel': 'linear'}",0.7911538461538461
SVC,"{'C': 100, 'kernel': 'linear'}",0.7911538461538461
SVC,"{'C': 0.1, 'kernel': 'linear'}",0.7901923076923076
SVC,"{'C': 10, 'kernel': 'rbf'}",0.7753846153846153
SVC,"{'C': 100, 'kernel': 'rbf'}",0.7753846153846153
SVC,"{'C': 1, 'kernel': 'rbf'}",0.7465384615384615
SVC,"{'C': 0.01, 'kernel': 'linear'}",0.6921153846153846
SVC,"{'C': 100, 'kernel': 'poly'}",0.6469230769230768
SVC,"{'C': 10, 'kernel': 'poly'}",0.6330769230769231
SVC,"{'C': 1, 'kernel': 'poly'}",0.4609615384615385
SVC,"{'C': 0.1, 'kernel': 'rbf'}",0.3998076923076923
SVC,"{'C': 0.1, 'kernel': 'poly'}",0.19288461538461538
SVC,"{'C': 0.01, 'kernel': 'rbf'}",0.09788461538461538
SVC,"{'C': 0.01, 'kernel': 'poly'}",0.08326923076923078
